image,mask
RIGA/Magrabia/MagrabiFemale/image1.tif,RIGA-mask/Magrabia/MagrabiFemale/image1.tif
RIGA/Magrabia/MagrabiFemale/image10.tif,RIGA-mask/Magrabia/MagrabiFemale/image10.tif
RIGA/Magrabia/MagrabiFemale/image11.tif,RIGA-mask/Magrabia/MagrabiFemale/image11.tif
RIGA/Magrabia/MagrabiFemale/image12.tif,RIGA-mask/Magrabia/MagrabiFemale/image12.tif
RIGA/Magrabia/MagrabiFemale/image14.tif,RIGA-mask/Magrabia/MagrabiFemale/image14.tif
RIGA/Magrabia/MagrabiFemale/image15.tif,RIGA-mask/Magrabia/MagrabiFemale/image15.tif
RIGA/Magrabia/MagrabiFemale/image16.tif,RIGA-mask/Magrabia/MagrabiFemale/image16.tif
RIGA/Magrabia/MagrabiFemale/image17.tif,RIGA-mask/Magrabia/MagrabiFemale/image17.tif
RIGA/Magrabia/MagrabiFemale/image19.tif,RIGA-mask/Magrabia/MagrabiFemale/image19.tif
RIGA/Magrabia/MagrabiFemale/image2.tif,RIGA-mask/Magrabia/MagrabiFemale/image2.tif
RIGA/Magrabia/MagrabiFemale/image20.tif,RIGA-mask/Magrabia/MagrabiFemale/image20.tif
RIGA/Magrabia/MagrabiFemale/image22.tif,RIGA-mask/Magrabia/MagrabiFemale/image22.tif
RIGA/Magrabia/MagrabiFemale/image23.tif,RIGA-mask/Magrabia/MagrabiFemale/image23.tif
RIGA/Magrabia/MagrabiFemale/image24.tif,RIGA-mask/Magrabia/MagrabiFemale/image24.tif
RIGA/Magrabia/MagrabiFemale/image25.tif,RIGA-mask/Magrabia/MagrabiFemale/image25.tif
RIGA/Magrabia/MagrabiFemale/image26.tif,RIGA-mask/Magrabia/MagrabiFemale/image26.tif
RIGA/Magrabia/MagrabiFemale/image27.tif,RIGA-mask/Magrabia/MagrabiFemale/image27.tif
RIGA/Magrabia/MagrabiFemale/image29.tif,RIGA-mask/Magrabia/MagrabiFemale/image29.tif
RIGA/Magrabia/MagrabiFemale/image3.tif,RIGA-mask/Magrabia/MagrabiFemale/image3.tif
RIGA/Magrabia/MagrabiFemale/image30.tif,RIGA-mask/Magrabia/MagrabiFemale/image30.tif
RIGA/Magrabia/MagrabiFemale/image31.tif,RIGA-mask/Magrabia/MagrabiFemale/image31.tif
RIGA/Magrabia/MagrabiFemale/image33.tif,RIGA-mask/Magrabia/MagrabiFemale/image33.tif
RIGA/Magrabia/MagrabiFemale/image34.tif,RIGA-mask/Magrabia/MagrabiFemale/image34.tif
RIGA/Magrabia/MagrabiFemale/image35.tif,RIGA-mask/Magrabia/MagrabiFemale/image35.tif
RIGA/Magrabia/MagrabiFemale/image36.tif,RIGA-mask/Magrabia/MagrabiFemale/image36.tif
RIGA/Magrabia/MagrabiFemale/image37.tif,RIGA-mask/Magrabia/MagrabiFemale/image37.tif
RIGA/Magrabia/MagrabiFemale/image38.tif,RIGA-mask/Magrabia/MagrabiFemale/image38.tif
RIGA/Magrabia/MagrabiFemale/image39.tif,RIGA-mask/Magrabia/MagrabiFemale/image39.tif
RIGA/Magrabia/MagrabiFemale/image40.tif,RIGA-mask/Magrabia/MagrabiFemale/image40.tif
RIGA/Magrabia/MagrabiFemale/image41.tif,RIGA-mask/Magrabia/MagrabiFemale/image41.tif
RIGA/Magrabia/MagrabiFemale/image42.tif,RIGA-mask/Magrabia/MagrabiFemale/image42.tif
RIGA/Magrabia/MagrabiFemale/image44.tif,RIGA-mask/Magrabia/MagrabiFemale/image44.tif
RIGA/Magrabia/MagrabiFemale/image47.tif,RIGA-mask/Magrabia/MagrabiFemale/image47.tif
RIGA/Magrabia/MagrabiFemale/image48.tif,RIGA-mask/Magrabia/MagrabiFemale/image48.tif
RIGA/Magrabia/MagrabiFemale/image5.tif,RIGA-mask/Magrabia/MagrabiFemale/image5.tif
RIGA/Magrabia/MagrabiFemale/image6.tif,RIGA-mask/Magrabia/MagrabiFemale/image6.tif
RIGA/Magrabia/MagrabiFemale/image7.tif,RIGA-mask/Magrabia/MagrabiFemale/image7.tif
RIGA/Magrabia/MagrabiFemale/image9.tif,RIGA-mask/Magrabia/MagrabiFemale/image9.tif
RIGA/Magrabia/MagrabiaMale/image1.tif,RIGA-mask/Magrabia/MagrabiaMale/image1.tif
RIGA/Magrabia/MagrabiaMale/image12.tif,RIGA-mask/Magrabia/MagrabiaMale/image12.tif
RIGA/Magrabia/MagrabiaMale/image14.tif,RIGA-mask/Magrabia/MagrabiaMale/image14.tif
RIGA/Magrabia/MagrabiaMale/image15.tif,RIGA-mask/Magrabia/MagrabiaMale/image15.tif
RIGA/Magrabia/MagrabiaMale/image16.tif,RIGA-mask/Magrabia/MagrabiaMale/image16.tif
RIGA/Magrabia/MagrabiaMale/image17.tif,RIGA-mask/Magrabia/MagrabiaMale/image17.tif
RIGA/Magrabia/MagrabiaMale/image18.tif,RIGA-mask/Magrabia/MagrabiaMale/image18.tif
RIGA/Magrabia/MagrabiaMale/image2.tif,RIGA-mask/Magrabia/MagrabiaMale/image2.tif
RIGA/Magrabia/MagrabiaMale/image20.tif,RIGA-mask/Magrabia/MagrabiaMale/image20.tif
RIGA/Magrabia/MagrabiaMale/image21.tif,RIGA-mask/Magrabia/MagrabiaMale/image21.tif
RIGA/Magrabia/MagrabiaMale/image24.tif,RIGA-mask/Magrabia/MagrabiaMale/image24.tif
RIGA/Magrabia/MagrabiaMale/image25.tif,RIGA-mask/Magrabia/MagrabiaMale/image25.tif
RIGA/Magrabia/MagrabiaMale/image26.tif,RIGA-mask/Magrabia/MagrabiaMale/image26.tif
