image,mask
BMC/Case00.nii.gz,BMC/Case00_Segmentation.nii.gz
BMC/Case01.nii.gz,BMC/Case01_Segmentation.nii.gz
BMC/Case02.nii.gz,BMC/Case02_Segmentation.nii.gz
BMC/Case03.nii.gz,BMC/Case03_Segmentation.nii.gz
BMC/Case04.nii.gz,BMC/Case04_Segmentation.nii.gz
BMC/Case05.nii.gz,BMC/Case05_Segmentation.nii.gz
BMC/Case06.nii.gz,BMC/Case06_Segmentation.nii.gz
BMC/Case07.nii.gz,BMC/Case07_Segmentation.nii.gz
BMC/Case08.nii.gz,BMC/Case08_Segmentation.nii.gz
BMC/Case09.nii.gz,BMC/Case09_Segmentation.nii.gz
BMC/Case10.nii.gz,BMC/Case10_Segmentation.nii.gz
BMC/Case11.nii.gz,BMC/Case11_Segmentation.nii.gz
BMC/Case12.nii.gz,BMC/Case12_Segmentation.nii.gz
BMC/Case13.nii.gz,BMC/Case13_Segmentation.nii.gz
BMC/Case14.nii.gz,BMC/Case14_Segmentation.nii.gz
BMC/Case15.nii.gz,BMC/Case15_Segmentation.nii.gz
BMC/Case16.nii.gz,BMC/Case16_Segmentation.nii.gz
BMC/Case17.nii.gz,BMC/Case17_Segmentation.nii.gz
BMC/Case18.nii.gz,BMC/Case18_Segmentation.nii.gz
BMC/Case19.nii.gz,BMC/Case19_Segmentation.nii.gz
BMC/Case20.nii.gz,BMC/Case20_Segmentation.nii.gz
BMC/Case21.nii.gz,BMC/Case21_Segmentation.nii.gz
BMC/Case22.nii.gz,BMC/Case22_Segmentation.nii.gz
BMC/Case23.nii.gz,BMC/Case23_Segmentation.nii.gz
BMC/Case24.nii.gz,BMC/Case24_Segmentation.nii.gz
BMC/Case25.nii.gz,BMC/Case25_Segmentation.nii.gz
BMC/Case26.nii.gz,BMC/Case26_Segmentation.nii.gz
BMC/Case27.nii.gz,BMC/Case27_Segmentation.nii.gz
BMC/Case28.nii.gz,BMC/Case28_Segmentation.nii.gz
BMC/Case29.nii.gz,BMC/Case29_Segmentation.nii.gz
