image,mask
HK/Case38.nii.gz,HK/Case38_segmentation.nii.gz
HK/Case39.nii.gz,HK/Case39_segmentation.nii.gz
HK/Case40.nii.gz,HK/Case40_segmentation.nii.gz
HK/Case41.nii.gz,HK/Case41_segmentation.nii.gz
HK/Case42.nii.gz,HK/Case42_segmentation.nii.gz
HK/Case43.nii.gz,HK/Case43_segmentation.nii.gz
HK/Case44.nii.gz,HK/Case44_segmentation.nii.gz
HK/Case45.nii.gz,HK/Case45_segmentation.nii.gz
HK/Case46.nii.gz,HK/Case46_segmentation.nii.gz
HK/Case47.nii.gz,HK/Case47_segmentation.nii.gz
HK/Case48.nii.gz,HK/Case48_segmentation.nii.gz
HK/Case49.nii.gz,HK/Case49_segmentation.nii.gz
