image,mask
RUNMC/Case00.nii.gz,RUNMC/Case00_segmentation.nii.gz
RUNMC/Case01.nii.gz,RUNMC/Case01_segmentation.nii.gz
RUNMC/Case02.nii.gz,RUNMC/Case02_segmentation.nii.gz
RUNMC/Case03.nii.gz,RUNMC/Case03_segmentation.nii.gz
RUNMC/Case04.nii.gz,RUNMC/Case04_segmentation.nii.gz
RUNMC/Case05.nii.gz,RUNMC/Case05_segmentation.nii.gz
RUNMC/Case06.nii.gz,RUNMC/Case06_segmentation.nii.gz
RUNMC/Case07.nii.gz,RUNMC/Case07_segmentation.nii.gz
RUNMC/Case08.nii.gz,RUNMC/Case08_segmentation.nii.gz
RUNMC/Case09.nii.gz,RUNMC/Case09_segmentation.nii.gz
RUNMC/Case10.nii.gz,RUNMC/Case10_segmentation.nii.gz
RUNMC/Case11.nii.gz,RUNMC/Case11_segmentation.nii.gz
RUNMC/Case12.nii.gz,RUNMC/Case12_segmentation.nii.gz
RUNMC/Case13.nii.gz,RUNMC/Case13_segmentation.nii.gz
RUNMC/Case14.nii.gz,RUNMC/Case14_segmentation.nii.gz
RUNMC/Case15.nii.gz,RUNMC/Case15_segmentation.nii.gz
RUNMC/Case16.nii.gz,RUNMC/Case16_segmentation.nii.gz
RUNMC/Case17.nii.gz,RUNMC/Case17_segmentation.nii.gz
RUNMC/Case18.nii.gz,RUNMC/Case18_segmentation.nii.gz
RUNMC/Case19.nii.gz,RUNMC/Case19_segmentation.nii.gz
RUNMC/Case20.nii.gz,RUNMC/Case20_segmentation.nii.gz
RUNMC/Case21.nii.gz,RUNMC/Case21_segmentation.nii.gz
RUNMC/Case22.nii.gz,RUNMC/Case22_segmentation.nii.gz
RUNMC/Case23.nii.gz,RUNMC/Case23_segmentation.nii.gz
RUNMC/Case24.nii.gz,RUNMC/Case24_segmentation.nii.gz
RUNMC/Case25.nii.gz,RUNMC/Case25_segmentation.nii.gz
RUNMC/Case26.nii.gz,RUNMC/Case26_segmentation.nii.gz
RUNMC/Case27.nii.gz,RUNMC/Case27_segmentation.nii.gz
RUNMC/Case28.nii.gz,RUNMC/Case28_segmentation.nii.gz
RUNMC/Case29.nii.gz,RUNMC/Case29_segmentation.nii.gz
